name,variable,unit,value,comment,source
NH3 (l) transport ship,capacity,MWh_LHV,273830,Based on NH3 LHV of 5.1666 MWh/t_NH3 and 53000 t capacity.,Calculated.
NH3 (l) transport ship,energy demand,MWh/km,0.5675,Assume same as for CH4 (l).,
FT fuel transport ship,(un-) loading losses,%/transfer,0,"Guesstimate, transfer of simple non-cryogenic fluid.",
FT fuel transport ship,(un-) loading time,h,48,Assume same as for LOHC.,
FT fuel transport ship,average speed,km/h,27.8,Assume same as for LOHC.,
FT fuel transport ship,boil-off,%/h,0,"Guesstimate, simple non-cryogenic fluid in closed tanks.",
FT fuel transport ship,capacity,MWh_LHV,896250,Based on FT fuel LHV of 11.95 MWh/t_FTfuel and 75000t capacity.,Calculated.
FT fuel transport ship,energy demand,MWh/km,0.2428,Assume same as for LOHC.,
dry bulk Capesize carrier,(un-) loading losses,%/transfer,0,Estimate, no expected losses for dry bulk goods.
dry bulk Capesize carrier,(un-) loading time,h,12,"Best values Turn-Time At Load/Discharge Port, pg. 23 .",S&P Global (2022): https://www.spglobal.com/commodityinsights/PlattsContent/_assets/_files/en/our-methodology/methodology-specifications/global_freight.pdf (accessed: 2022-12-02).
dry bulk Capesize carrier,average speed,km/h,23,"Assume average between laden and ballast journey (12 and 13 knots), pg. 34.",S&P Global (2022): https://www.spglobal.com/commodityinsights/PlattsContent/_assets/_files/en/our-methodology/methodology-specifications/global_freight.pdf (accessed: 2022-12-02).
dry bulk Capesize carrier,boil-off,%/h,0,No boil-off for dry bulk goods.,
dry bulk Capesize carrier,capacity,t,180000,"DWT; corresponds to size of Capesize bulk carriers which have previously docked at the habour in Hamburg, Germany. Short of 200 kt limit for VLBCs.",
dry bulk Capesize carrier,energy demand,MWh/km,0.8633,"Assuming fuel consumption of 44 t heavy fuel oil per day (pg. 33, source 1). Average speed of 23 km/h, see above. HFO LHV: 10.83 kWh/kg (source 2). Neglecting consumption in port.","source 1: S&P Global (2022), https://www.spglobal.com/commodityinsights/PlattsContent/_assets/_files/en/our-methodology/methodology-specifications/global_freight.pdf and source 2: https://www.engineeringtoolbox.com/fuels-higher-calorific-values-d_169.html (both accessed: 2022-12-02)."
